,mean,std,var,skew,kurtosis
R,20.92135955185386,50.71862313267086,2572.3787324738955,2.365313006933855,4.68402961118423
G,20.153653672399916,49.01035636472259,2402.015030997104,2.3953353940047024,4.899814365570619
B,20.255289537233256,48.736503550865336,2375.2467783635097,2.320241653721296,4.454969147765241
L,20.39269208299245,49.46347644692247,2446.6355022152543,2.3754431808721574,4.77088160771547
